DR1ILINE,DR1DRSTZ,DRABF,DR1DAY,DR1LANG,DR1CCMTX,DR1_030Z,DR1FS,DR1_040Z,DR1IGRMS
5,1,2,6,2,5.40E-79,12,1,1,141
6,1,2,6,2,5.40E-79,12,1,1,69.38
7,1,2,6,2,5.40E-79,12,1,1,155
8,1,2,6,2,5.40E-79,16,12,1,21
9,1,2,6,2,5.40E-79,14,3,1,140
10,1,2,6,2,5.40E-79,14,1,1,248
1,1,2,5,1,2,1,1,1,52.5
2,1,2,5,1,2,1,1,1,213.51
3,1,2,5,1,1,1,1,1,239.85
4,1,2,5,1,1,1,1,1,1.04
5,1,2,5,1,5.40E-79,1,1,1,360
6,1,2,5,1,5.40E-79,2,1,1,293.63
7,1,2,5,1,5.40E-79,2,1,1,360
8,1,2,5,1,5.40E-79,7,1,1,360
9,1,2,5,1,5.40E-79,4,1,1,172.13
10,1,2,5,1,5.40E-79,4,1,1,360
11,1,2,5,1,5.40E-79,6,16,1,40.2
12,1,2,5,1,5.40E-79,6,1,1,360
13,1,2,5,1,5.40E-79,7,1,1,360
1,1,2,6,1,5.40E-79,1,1,1,75
2,1,2,6,1,5.40E-79,1,1,1,28
3,1,2,6,1,5.40E-79,1,1,1,496
4,1,2,6,1,5.40E-79,1,,1,120
5,1,2,6,1,5.40E-79,6,1,1,126
6,1,2,6,1,5.40E-79,2,25,1,147
7,1,2,6,1,5.40E-79,2,,1,120
8,1,2,6,1,5.40E-79,6,14,2,67.5
9,1,2,6,1,5.40E-79,6,3,2,69
10,1,2,6,1,5.40E-79,7,,1,120
11,1,2,6,1,5.40E-79,3,1,1,55
12,1,2,6,1,5.40E-79,3,1,1,50.27
1,1,2,1,1,2,1,1,1,19.06
2,1,2,1,1,2,1,1,1,16.56
3,1,2,1,1,2,1,1,1,101.66
4,1,2,1,1,5.40E-79,1,,1,150
5,1,2,1,1,5.40E-79,7,,2,30
6,1,2,1,1,12,3,16,2,85
7,1,2,1,1,12,3,16,2,1.33
8,1,2,1,1,5.40E-79,3,16,2,50
9,1,2,1,1,5.40E-79,3,16,2,91.69
10,1,2,1,1,5.40E-79,3,16,2,16.75
11,1,2,1,1,5.40E-79,3,16,2,87.19
12,1,2,1,1,5.40E-79,3,16,2,63.62
13,1,2,1,1,5.40E-79,3,16,2,162.5
14,1,2,1,1,5.40E-79,3,16,2,402.5
15,1,2,1,1,5.40E-79,3,16,2,42.5
16,1,2,1,1,5.40E-79,3,16,2,20
17,1,2,1,1,5.40E-79,4,16,2,259.25
18,1,2,1,1,5.40E-79,4,16,2,106.75
19,1,2,1,1,5.40E-79,4,,2,660
20,1,2,1,1,5.40E-79,4,16,2,329.38
21,1,2,1,1,5.40E-79,6,1,1,20
22,1,2,1,1,5.40E-79,6,16,1,5.19
23,1,2,1,1,5.40E-79,6,,1,150
1,1,2,2,1,5.40E-79,1,27,2,260
2,1,2,2,1,5.40E-79,1,27,2,600
3,1,2,2,1,5.40E-79,6,27,2,600
4,1,2,2,1,5.40E-79,6,27,2,102
5,1,2,2,1,11,3,3,2,396
6,1,2,2,1,11,3,3,2,36
7,1,2,2,1,5.40E-79,3,3,2,600
8,1,2,2,1,5.40E-79,6,27,2,600
9,1,2,2,1,5.40E-79,6,1,1,957
10,1,2,2,1,5.40E-79,4,28,1,1751.56
11,1,2,2,1,5.40E-79,4,28,1,21
12,1,2,2,1,5.40E-79,4,28,1,957
13,1,2,2,1,90,6,28,1,85
14,1,2,2,1,90,6,28,1,56.5
15,1,2,2,1,5.40E-79,6,28,1,957
1,1,2,1,1,2,1,1,1,39.31
2,1,2,1,1,2,1,1,1,172.84
3,1,2,1,1,5.40E-79,1,1,1,54
4,1,2,1,1,5.40E-79,6,1,1,350.75
5,1,2,1,1,5.40E-79,6,1,1,21
6,1,2,1,1,5.40E-79,4,,1,345
7,1,2,1,1,5.40E-79,4,1,1,213.5
8,1,2,1,1,5.40E-79,4,,1,210
9,1,2,1,1,5.40E-79,4,1,1,453.13
11,1,2,1,1,5.40E-79,4,1,1,168
12,1,2,1,1,5.40E-79,6,1,1,6
13,1,2,1,1,5.40E-79,6,1,1,42
1,1,2,7,1,5.40E-79,7,,1,480
2,1,2,7,1,2,1,1,2,67.06
3,1,2,7,1,2,1,1,2,294.85
4,1,2,7,1,5.40E-79,1,1,2,50
5,1,2,7,1,5.40E-79,7,,2,1560
6,1,2,7,1,5.40E-79,6,1,2,126
7,1,2,7,1,5.40E-79,6,16,2,8
8,1,2,7,1,5.40E-79,6,16,2,5
9,1,2,7,1,5.40E-79,7,,2,195
10,1,2,7,1,5.40E-79,3,1,2,204
11,1,2,7,1,5.40E-79,3,1,2,172
12,1,2,7,1,5.40E-79,3,1,2,230
13,1,2,7,1,5.40E-79,3,,2,195
14,1,2,7,1,5.40E-79,6,1,1,113
15,1,2,7,1,5.40E-79,6,1,1,21
1,1,2,4,1,5.40E-79,7,,2,30
2,1,2,4,1,5.40E-79,7,,2,30
3,1,2,4,1,5.40E-79,2,7,2,86
4,1,2,4,1,5.40E-79,2,7,2,248
5,1,2,4,1,5.40E-79,7,,2,30
6,1,2,4,1,2,6,1,1,51.27
7,1,2,4,1,2,6,1,1,269.01
8,1,2,4,1,5.40E-79,7,,1,240
9,1,2,4,1,5.40E-79,6,1,1,320.25
